street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
S WACKER DR,60699,224863,S WACKER DR,FALSE,,,S,WACKER,DR,"S WACKER DR, CHICAGO IL 60699",41.877424060094,-87.636857595452,99.36,"S WACKER DR, CHICAGO, IL, 60606",FALSE,S WACKER DR,,,S,WACKER,DR,60606
S WACKER DR,60699,224864,S WACKER DR,FALSE,,,S,WACKER,DR,"S WACKER DR, CHICAGO IL 60699",41.877424060094,-87.636857595452,99.36,"S WACKER DR, CHICAGO, IL, 60606",FALSE,S WACKER DR,,,S,WACKER,DR,60606
E NORTH WATER,60611,225125,E NORTH WATER,FALSE,,,E,NORTH WATER,,"E NORTH WATER, CHICAGO IL 60611",41.890036666366,-87.622304146419,98.46,"E NORTH WATER ST, CHICAGO, IL, 60611",FALSE,E NORTH WATER ST,,,E,NORTH WATER,ST,60611
S LAKE SHORE & 39TH ST,60653,236911,S LAKE SHORE & 39TH ST,TRUE,,,,,,"S LAKE SHORE & 39TH ST, CHICAGO IL 60653",41.825000979856,-87.603881977314,94.94,"S LAKE PARK AVE & E 39TH ST, CHICAGO, IL, 60653",TRUE,S LAKE PARK AVE & E 39TH ST,,,E,39TH ST & S LAKE PARK,AVE,60653
11592 S FRONT AVE,60628,329467,11592 S FRONT AVE,FALSE,11592,11592,S,FRONT,AVE,"11592 S FRONT AVE, CHICAGO IL 60628",41.6937168,-87.6231318,88,"60628, CHICAGO, IL",FALSE,60628,,,,,,
11576 S FRONT AVE,60628,340089,11576 S FRONT AVE,FALSE,11576,11576,S,FRONT,AVE,"11576 S FRONT AVE, CHICAGO IL 60628",41.6937168,-87.6231318,88,"60628, CHICAGO, IL",FALSE,60628,,,,,,
428 E MIDWAY PLAISANCE,60644,347134,428 E MIDWAY PLAISANCE,FALSE,428,428,E,MIDWAY PLAISANCE,,"428 E MIDWAY PLAISANCE, CHICAGO IL 60644",41.882338,-87.757774,84,"60644, CHICAGO, IL",FALSE,60644,,,,,,
E 77TH ST & LAKE MICHIGAN,60649,348738,E 77TH ST & LAKE MICHIGAN,TRUE,,,,,,"E 77TH ST & LAKE MICHIGAN, CHICAGO IL 60649",41.757720616533,-87.55245229581,92.15,"E 77TH ST & S LAKE PARK AVE, CHICAGO, IL, 60649",TRUE,E 77TH ST & S LAKE PARK AVE,,,E,77TH ST & S LAKE PARK,AVE,60649
E 78TH ST & LAKE MICHIGAN,60649,348739,E 78TH ST & LAKE MICHIGAN,TRUE,,,,,,"E 78TH ST & LAKE MICHIGAN, CHICAGO IL 60649",41.755882004162,-87.550596500538,92.15,"E 78TH ST & S LAKE PARK AVE, CHICAGO, IL, 60649",TRUE,E 78TH ST & S LAKE PARK AVE,,,E,78TH ST & S LAKE PARK,AVE,60649
E 39TH ST & LAKE SHORE DR,60616,348857,E 39TH ST & LAKE SHORE DR,TRUE,,,,,,"E 39TH ST & LAKE SHORE DR, CHICAGO IL 60616",41.825000979856,-87.603881977314,91.38,"E 39TH ST & S LAKE PARK AVE, CHICAGO, IL, 60653",TRUE,E 39TH ST & S LAKE PARK AVE,,,E,39TH ST & S LAKE PARK,AVE,60653
8534-1/2 S AVENUE O,60617,355095,8534 S AVENUE O,FALSE,8534,8534,S,AVENUE O,,"8534 S AVENUE O, CHICAGO IL 60617",41.673180590771,-87.540078954097993,94.62,"S AVENUE O, CHICAGO, IL, 60617",FALSE,S AVENUE O,,,S,AVENUE O,,60617
3040 W 11TH ST,60655,406137,3040 W 11TH ST,FALSE,3040,3040,W,11TH,ST,"3040 W 11TH ST, CHICAGO IL 60655",41.6904543,-87.7032413,84,"60655, CHICAGO, IL",FALSE,60655,,,,,,
11833 S BURLEY AVE,60617,415395,11833 S BURLEY AVE,FALSE,11833,11833,S,BURLEY,AVE,"11833 S BURLEY AVE, CHICAGO IL 60617",41.693656602065,-87.545011009809,93.97,"S BURLEY AVE, CHICAGO, IL, 60617",FALSE,S BURLEY AVE,,,S,BURLEY,AVE,60617
11833 S BURLEY AVE,60617,415396,11833 S BURLEY AVE,FALSE,11833,11833,S,BURLEY,AVE,"11833 S BURLEY AVE, CHICAGO IL 60617",41.693656602065,-87.545011009809,93.97,"S BURLEY AVE, CHICAGO, IL, 60617",FALSE,S BURLEY AVE,,,S,BURLEY,AVE,60617
4055 S SHIELDS AVE,60609,416737,4055 S SHIELDS AVE,FALSE,4055,4055,S,SHIELDS,AVE,"4055 S SHIELDS AVE, CHICAGO IL 60609",41.805413742329,-87.634478511634,95.17,"S SHIELDS AVE, CHICAGO, IL, 60609",FALSE,S SHIELDS AVE,,,S,SHIELDS,AVE,60609
11321 S KOMENSKY AVE,60655,417665,11321 S KOMENSKY AVE,FALSE,11321,11321,S,KOMENSKY,AVE,"11321 S KOMENSKY AVE, CHICAGO IL 60655",41.679168658417,-87.721058438161,93.65,"S KOMENSKY AVE, ALSIP, IL, 60803",FALSE,S KOMENSKY AVE,,,S,KOMENSKY,AVE,60803
11301 S KOMENSKY AVE,60655,417666,11301 S KOMENSKY AVE,FALSE,11301,11301,S,KOMENSKY,AVE,"11301 S KOMENSKY AVE, CHICAGO IL 60655",41.679168658417,-87.721058438161,93.65,"S KOMENSKY AVE, ALSIP, IL, 60803",FALSE,S KOMENSKY AVE,,,S,KOMENSKY,AVE,60803
11341 S KOMENSKY AVE,60655,417667,11341 S KOMENSKY AVE,FALSE,11341,11341,S,KOMENSKY,AVE,"11341 S KOMENSKY AVE, CHICAGO IL 60655",41.679168658417,-87.721058438161,93.65,"S KOMENSKY AVE, ALSIP, IL, 60803",FALSE,S KOMENSKY AVE,,,S,KOMENSKY,AVE,60803
11359 S KOMENSKY AVE,60655,417668,11359 S KOMENSKY AVE,FALSE,11359,11359,S,KOMENSKY,AVE,"11359 S KOMENSKY AVE, CHICAGO IL 60655",41.679168658417,-87.721058438161,93.65,"S KOMENSKY AVE, ALSIP, IL, 60803",FALSE,S KOMENSKY AVE,,,S,KOMENSKY,AVE,60803
