street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
70 E CARVER PLZ,60653,396517,70 E CARVER PLZ,FALSE,70,70,E,CARVER,PLZ,"70 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.624192,"70 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,70 E CARVER PLAZA,70,70,E,CARVER PLAZA,,60653
54 E CARVER PLZ,60653,399137,54 E CARVER PLZ,FALSE,54,54,E,CARVER,PLZ,"54 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624291,"54 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,54 E CARVER PLAZA,54,54,E,CARVER PLAZA,,60653
62 E CARVER PLZ,60653,399138,62 E CARVER PLZ,FALSE,62,62,E,CARVER,PLZ,"62 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624242,"62 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,62 E CARVER PLAZA,62,62,E,CARVER PLAZA,,60653
74 E CARVER PLZ,60653,399139,74 E CARVER PLZ,FALSE,74,74,E,CARVER,PLZ,"74 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.624168,"74 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,74 E CARVER PLAZA,74,74,E,CARVER PLAZA,,60653
114 E CARVER PLZ,60653,400208,114 E CARVER PLZ,FALSE,114,114,E,CARVER,PLZ,"114 E CARVER PLZ, CHICAGO IL 60653",41.827144,-87.622456,"114 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,114 E CARVER PLAZA,114,114,E,CARVER PLAZA,,60653
104 E CARVER PLZ,60653,400664,104 E CARVER PLZ,FALSE,104,104,E,CARVER,PLZ,"104 E CARVER PLZ, CHICAGO IL 60653",41.827146,-87.622763,"104 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,104 E CARVER PLAZA,104,104,E,CARVER PLAZA,,60653
110 E CARVER PLZ,60653,400665,110 E CARVER PLZ,FALSE,110,110,E,CARVER,PLZ,"110 E CARVER PLZ, CHICAGO IL 60653",41.827143,-87.62258,"110 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,110 E CARVER PLAZA,110,110,E,CARVER PLAZA,,60653
112 E CARVER PLZ,60653,400666,112 E CARVER PLZ,FALSE,112,112,E,CARVER,PLZ,"112 E CARVER PLZ, CHICAGO IL 60653",41.827144,-87.622522,"112 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,112 E CARVER PLAZA,112,112,E,CARVER PLAZA,,60653
46 E CARVER PLZ,60653,403280,46 E CARVER PLZ,FALSE,46,46,E,CARVER,PLZ,"46 E CARVER PLZ, CHICAGO IL 60653",41.827207,-87.62434,"46 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,46 E CARVER PLAZA,46,46,E,CARVER PLAZA,,60653
1455-60 N SANDBURG TER,60610,404533,1455-60 N SANDBURG TER,FALSE,1455,1460,N,SANDBURG,TER,"1455-60 N SANDBURG TER, CHICAGO IL 60610",41.908848,-87.631939,"1455 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1455 N SANDBURG TERRACE,1455,1455,N,SANDBURG TERRACE,,60610
1355-60 N SANDBURG TER,60610,421233,1355-60 N SANDBURG TER,FALSE,1355,1360,N,SANDBURG,TER,"1355-60 N SANDBURG TER, CHICAGO IL 60610",41.90706,-87.631903,"1355 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1355 N SANDBURG TERRACE,1355,1355,N,SANDBURG TERRACE,,60610
1355-60 N SANDBURG TER,60610,421234,1355-60 N SANDBURG TER,FALSE,1355,1360,N,SANDBURG,TER,"1355-60 N SANDBURG TER, CHICAGO IL 60610",41.90706,-87.631903,"1355 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1355 N SANDBURG TERRACE,1355,1355,N,SANDBURG TERRACE,,60610
1255 N SANDBURG TER,60610,421243,1255 N SANDBURG TER,FALSE,1255,1255,N,SANDBURG,TER,"1255 N SANDBURG TER, CHICAGO IL 60610",41.905407,-87.631908,"1255 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1255 N SANDBURG TERRACE,1255,1255,N,SANDBURG TERRACE,,60610
1255 N SANDBURG TER,60610,421244,1255 N SANDBURG TER,FALSE,1255,1255,N,SANDBURG,TER,"1255 N SANDBURG TER, CHICAGO IL 60610",41.905407,-87.631908,"1255 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1255 N SANDBURG TERRACE,1255,1255,N,SANDBURG TERRACE,,60610
1252 W WESTGATE TER,60607,467676,1252 W WESTGATE TER,FALSE,1252,1252,W,WESTGATE,TER,"1252 W WESTGATE TER, CHICAGO IL 60607",41.8739966,-87.6588572,"1252 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1252 W WESTGATE TERRACE,1252,1252,W,WESTGATE TERRACE,,60607
1242 W WESTGATE TER,60607,467677,1242 W WESTGATE TER,FALSE,1242,1242,W,WESTGATE,TER,"1242 W WESTGATE TER, CHICAGO IL 60607",41.8738161,-87.6585687,"1242 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1242 W WESTGATE TERRACE,1242,1242,W,WESTGATE TERRACE,,60607
