street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
3702 W 116TH PL,60655,130420,3702 W 116TH PL,FALSE,3702,3702,W,116TH,PL,"3702 W 116TH PL, CHICAGO IL 60655",41.681527985112,-87.712878988922,99.42,"3702 W 116TH PL, ALSIP, IL, 60803",FALSE,3702 W 116TH PL,3702,3702,W,116TH,PL, 60803
3706 W 116TH PL,60655,130421,3706 W 116TH PL,FALSE,3706,3706,W,116TH,PL,"3706 W 116TH PL, CHICAGO IL 60655",41.681538001486,-87.713136983902,99.42,"3706 W 116TH PL, ALSIP, IL, 60803",FALSE,3706 W 116TH PL,3706,3706,W,116TH,PL, 60803
3708 W 116TH PL,60655,130422,3708 W 116TH PL,FALSE,3708,3708,W,116TH,PL,"3708 W 116TH PL, CHICAGO IL 60655",41.681570984275,-87.71325399527,99.42,"3708 W 116TH PL, ALSIP, IL, 60803",FALSE,3708 W 116TH PL,3708,3708,W,116TH,PL, 60803
3710 W 116TH PL,60655,130423,3710 W 116TH PL,FALSE,3710,3710,W,116TH,PL,"3710 W 116TH PL, CHICAGO IL 60655",41.681570984275,-87.713348040224,99.42,"3710 W 116TH PL, ALSIP, IL, 60803",FALSE,3710 W 116TH PL,3710,3710,W,116TH,PL, 60803
3714 W 116TH PL,60655,130424,3714 W 116TH PL,FALSE,3714,3714,W,116TH,PL,"3714 W 116TH PL, CHICAGO IL 60655",41.681564991214,-87.713458010793,99.42,"3714 W 116TH PL, ALSIP, IL, 60803",FALSE,3714 W 116TH PL,3714,3714,W,116TH,PL, 60803
3718 W 116TH PL,60655,130425,3718 W 116TH PL,FALSE,3718,3718,W,116TH,PL,"3718 W 116TH PL, CHICAGO IL 60655",41.681563985386,-87.713578961656,99.42,"3718 W 116TH PL, ALSIP, IL, 60803",FALSE,3718 W 116TH PL,3718,3718,W,116TH,PL, 60803
3720 W 116TH PL,60655,130426,3720 W 116TH PL,FALSE,3720,3720,W,116TH,PL,"3720 W 116TH PL, CHICAGO IL 60655",41.681562015638,-87.713702007995,99.42,"3720 W 116TH PL, ALSIP, IL, 60803",FALSE,3720 W 116TH PL,3720,3720,W,116TH,PL, 60803
3700 W 116TH ST,60655,130437,3700 W 116TH ST,FALSE,3700,3700,W,116TH,ST,"3700 W 116TH ST, CHICAGO IL 60655",41.682485994735,-87.712883012236,99.42,"3700 W 116TH ST, ALSIP, IL, 60803",FALSE,3700 W 116TH ST,3700,3700,W,116TH,ST, 60803
12409 S THROOP ST,60827,130438,12409 S THROOP ST,FALSE,12409,12409,S,THROOP,ST,"12409 S THROOP ST, CHICAGO IL 60827",41.668079011919,-87.653384994554,99.9,"12409 S THROOP ST, CALUMET PARK, IL, 60827",FALSE,12409 S THROOP ST,12409,12409,S,THROOP,ST, 60827
9418 S KEDZIE AVE,60805,130439,9418 S KEDZIE AVE,FALSE,9418,9418,S,KEDZIE,AVE,"9418 S KEDZIE AVE, CHICAGO IL 60805",41.721882993226,-87.70228501768,99.9,"9418 S KEDZIE AVE, EVERGREEN PARK, IL, 60805",FALSE,9418 S KEDZIE AVE,9418,9418,S,KEDZIE,AVE, 60805
3701 W 116TH ST,60655,130440,3701 W 116TH ST,FALSE,3701,3701,W,116TH,ST,"3701 W 116TH ST, CHICAGO IL 60655",41.68186401561,-87.712863985315,99.42,"3701 W 116TH ST, ALSIP, IL, 60803",FALSE,3701 W 116TH ST,3701,3701,W,116TH,ST, 60803
11720 S KEDZIE AVE,60803,130441,11720 S KEDZIE AVE,FALSE,11720,11720,S,KEDZIE,AVE,"11720 S KEDZIE AVE, CHICAGO IL 60803",41.680145012997,-87.700804019208,99.9,"11720 S KEDZIE AVE, MERRIONETTE PARK, IL, 60803",FALSE,11720 S KEDZIE AVE,11720,11720,S,KEDZIE,AVE, 60803
3704 W 116TH ST,60655,130442,3704 W 116TH ST,FALSE,3704,3704,W,116TH,ST,"3704 W 116TH ST, CHICAGO IL 60655",41.682476984189,-87.713077975303,99.42,"3704 W 116TH ST, ALSIP, IL, 60803",FALSE,3704 W 116TH ST,3704,3704,W,116TH,ST, 60803
3705 W 116TH ST,60622,130443,3705 W 116TH ST,FALSE,3705,3705,W,116TH,ST,"3705 W 116TH ST, CHICAGO IL 60622",41.682015979514,-87.713001029432,97.98,"3705 W 116TH ST, ALSIP, IL, 60803",FALSE,3705 W 116TH ST,3705,3705,W,116TH,ST, 60803
7343 W LAWRENCE AVE,60656,130444,7343 W LAWRENCE AVE,FALSE,7343,7343,W,LAWRENCE,AVE,"7343 W LAWRENCE AVE, CHICAGO IL 60656",41.966943983905,-87.81122897184,99.42,"7343 W LAWRENCE AVE, HARWOOD HEIGHTS, IL, 60706",FALSE,7343 W LAWRENCE AVE,7343,7343,W,LAWRENCE,AVE, 60706
3708 W 116TH ST,60655,130445,3708 W 116TH ST,FALSE,3708,3708,W,116TH,ST,"3708 W 116TH ST, CHICAGO IL 60655",41.682481007503,-87.713246032462,99.42,"3708 W 116TH ST, ALSIP, IL, 60803",FALSE,3708 W 116TH ST,3708,3708,W,116TH,ST, 60803
3709 W 116TH ST,60655,130446,3709 W 116TH ST,FALSE,3709,3709,W,116TH,ST,"3709 W 116TH ST, CHICAGO IL 60655",41.682015015596,-87.713097002224,99.42,"3709 W 116TH ST, ALSIP, IL, 60803",FALSE,3709 W 116TH ST,3709,3709,W,116TH,ST, 60803
3715 W 116TH ST,60655,130447,3715 W 116TH ST,FALSE,3715,3715,W,116TH,ST,"3715 W 116TH ST, CHICAGO IL 60655",41.682017991171,-87.713290037454,99.42,"3715 W 116TH ST, ALSIP, IL, 60803",FALSE,3715 W 116TH ST,3715,3715,W,116TH,ST, 60803
3719 W 116TH ST,60655,130448,3719 W 116TH ST,FALSE,3719,3719,W,116TH,ST,"3719 W 116TH ST, CHICAGO IL 60655",41.682039993667,-87.713414005802,99.42,"3719 W 116TH ST, ALSIP, IL, 60803",FALSE,3719 W 116TH ST,3719,3719,W,116TH,ST, 60803
