CCA,est_total,est_hispanic,est_white_nonhispanic,est_black_nonhispanic,est_asian_nonhispanic,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
Forest Glen,19517.0,2342.0,14223.0,184.0,1999.0,0.11999795050468821,0.7287492954859865,0.009427678434185582,0.10242352820617923,0.2712507045140134
Fuller Park,2233.8480565371024,247.4228504122497,69.9599528857479,1691.0659599528858,12.873969375736147,0.11076082354312096,0.03131813405169526,0.75701924085847,0.005763135651980419,0.9686818659483047
Gage Park,35691.0,32366.0,768.0,2116.0,284.0,0.9068392591969965,0.02151802975540052,0.059286654898994144,0.007957188086632485,0.9784819702445995
Garfield Ridge,36426.0,21374.0,12774.0,1281.0,637.0,0.5867786745731072,0.3506835776643057,0.03516718827211333,0.01748750892219843,0.6493164223356943
Grand Boulevard,26345.0,1200.0,1847.0,21622.0,117.0,0.045549440121465175,0.07010817992028848,0.8207249952552667,0.004441070411842854,0.9298918200797115
Greater Grand Crossing,29563.0,1287.0,328.0,27003.0,299.0,0.04353414741399723,0.011094949768291446,0.9134052701011399,0.010113993843655921,0.9889050502317086
Hegewisch,9051.924436177633,4826.277633108579,2934.0997442455246,1175.0823529411764,79.27058823529411,0.5331769688464807,0.3241409895688999,0.12981574926153272,0.008757318821451386,0.6758590104311001
Hermosa,22776.0,18649.0,2650.0,780.0,468.0,0.8188004917456972,0.11635054443273621,0.03424657534246575,0.02054794520547945,0.8836494555672638
Humboldt Park,55598.0,28982.0,6573.0,17755.0,1336.0,0.5212777438037339,0.11822367711068743,0.3193460196409943,0.02402964135400554,0.8817763228893125
Hyde Park,29591.0,2365.0,11889.0,8292.0,4581.0,0.07992294954546991,0.40177756750363286,0.28022033726470885,0.15481058429928019,0.5982224324963671
Irving Park,53832.0,21765.0,23397.0,1947.0,4609.0,0.4043134195274186,0.43462995987516717,0.03616807846633972,0.08561821964630703,0.5653700401248328
Jefferson Park,26643.0,6927.0,15310.0,611.0,3204.0,0.2599932440040536,0.5746349885523402,0.02293285290695492,0.1202567278459633,0.4253650114476598
Kenwood,18138.0,644.0,3489.0,11786.0,1092.0,0.03550556841989194,0.1923585841878928,0.6497960083801962,0.06020509427720807,0.8076414158121071
Lake View,101163.0,9840.0,75071.0,4860.0,6978.0,0.0972687642715222,0.7420796140881548,0.04804127991459328,0.06897778832181727,0.25792038591184524
Lincoln Park,67831.0,5120.0,52781.0,2121.0,5082.0,0.0754817119016379,0.7781250460703808,0.031268888856127726,0.07492149607111792,0.2218749539296192
Lincoln Square,41673.0,8272.0,25378.0,1850.0,3823.0,0.19849782833009383,0.6089794351258608,0.0443932522256617,0.09173805581551604,0.3910205648741391
Logan Square,71039.70224078998,24533.33080136726,36597.61450816559,3769.1367261678693,3455.4834789213824,0.3453467572008005,0.5151712824487568,0.0530567641372191,0.04864158167793239,0.48482871755124324
