row,full_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,m_is_intersection,m_stnum1,m_stnum2,m_stdir,m_stname,m_zip
130477,"5726 W 51ST ST, CHICAGO IL 60638",FALSE,5726,5726,W,51ST,ST,60638,Census Bureau,41.800074156009,-87.765889679046,17031820800,FALSE,5726,5726,W,51ST, 60638
130478,"5750 W 51ST ST, CHICAGO IL 60638",FALSE,5750,5750,W,51ST,ST,60638,Census Bureau,41.800052558865,-87.766863047647007,17031820800,FALSE,5750,5750,W,51ST, 60638
130479,"5800 W 51ST ST, CHICAGO IL 60638",FALSE,5800,5800,W,51ST,ST,60638,Census Bureau,41.800042603567,-87.767476228622,17031820800,FALSE,5800,5800,W,51ST, 60638
130480,"5900 W 51ST ST, CHICAGO IL 60638",FALSE,5900,5900,W,51ST,ST,60638,Census Bureau,41.799991463271,-87.769916074522,17031820800,FALSE,5900,5900,W,51ST, 60638
130481,"5950 W 51ST ST, CHICAGO IL 60638",FALSE,5950,5950,W,51ST,ST,60638,Census Bureau,41.799952698866,-87.77178081811,17031820800,FALSE,5950,5950,W,51ST, 60638
130482,"6000 W 51ST ST, CHICAGO IL 60638",FALSE,6000,6000,W,51ST,ST,60638,Census Bureau,41.799934549755,-87.772358792825,17031820800,FALSE,6000,6000,W,51ST, 60638
130483,"6200 W 51ST ST, CHICAGO IL 60638",FALSE,6200,6200,W,51ST,ST,60638,Census Bureau,41.799801599744,-87.777842681286,17031820800,FALSE,6200,6200,W,51ST, 60638
130488,"5000 S MAJOR, CHICAGO IL 60402",FALSE,5000,5000,S,MAJOR,,60402,Census Bureau,41.801301668483,-87.765242327085,17031820800,FALSE,5000,5000,S,MAJOR, 60638
130489,"4900 S MASON, CHICAGO IL 60402",FALSE,4900,4900,S,MASON,,60402,Census Bureau,41.802365347071,-87.770794538957,17031820800,FALSE,4900,4900,S,MASON, 60638
130491,"5001 S MASON, CHICAGO IL 60402",FALSE,5001,5001,S,MASON,,60402,Census Bureau,41.801159672329,-87.770595473382,17031820800,FALSE,5001,5001,S,MASON, 60638
130493,"5005 S MASON, CHICAGO IL 60402",FALSE,5005,5005,S,MASON,,60402,Census Bureau,41.801111317056,-87.770593657227,17031820800,FALSE,5005,5005,S,MASON, 60638
130494,"5063 S MERRIMAC AVE, CHICAGO IL",FALSE,5063,5063,S,MERRIMAC,AVE,,Census Bureau,41.800230577835,-87.778316352658,17031820800,FALSE,5063,5063,S,MERRIMAC, 60638
130496,"4910 S MONITOR, CHICAGO IL 60402",FALSE,4910,4910,S,MONITOR,,60402,Census Bureau,41.801900173727,-87.769149454122,17031820800,FALSE,4910,4910,S,MONITOR, 60638
130497,"4911 S MONITOR, CHICAGO IL 60402",FALSE,4911,4911,S,MONITOR,,60402,Census Bureau,41.801903252721,-87.768995788042,17031820800,FALSE,4911,4911,S,MONITOR, 60638
130499,"4920 S MONITOR, CHICAGO IL 60402",FALSE,4920,4920,S,MONITOR,,60402,Census Bureau,41.801799520914,-87.769145824824,17031820800,FALSE,4920,4920,S,MONITOR, 60638
130501,"4956 S MONITOR, CHICAGO IL 60402",FALSE,4956,4956,S,MONITOR,,60402,Census Bureau,41.801437170789,-87.769132759352,17031820800,FALSE,4956,4956,S,MONITOR, 60638
130867,"5001 S LONG, CHICAGO IL 60402",FALSE,5001,5001,S,LONG,,60402,Census Bureau,41.801883870864,-87.757603359943,17031820800,FALSE,5001,5001,S,LONG, 60638
130870,"11750 S HOMAN, CHICAGO IL 60803",FALSE,11750,11750,S,HOMAN,,60803,Census Bureau,41.680346944733,-87.705390014383,17031823304,FALSE,11750,11750,S,HOMAN, 60803
146659,"4720 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4720,4720,S,LARAMIE,AVE,60638,Census Bureau,41.806887607462,-87.752999887616,17031820800,FALSE,4720,4720,S,LARAMIE, 60638
146660,"4728 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4728,4728,S,LARAMIE,AVE,60638,Census Bureau,41.80676821109,-87.75299775555,17031820800,FALSE,4728,4728,S,LARAMIE, 60638
146661,"4730 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4730,4730,S,LARAMIE,AVE,60638,Census Bureau,41.806738361997,-87.752997222533,17031820800,FALSE,4730,4730,S,LARAMIE, 60638
146662,"4758 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4758,4758,S,LARAMIE,AVE,60638,Census Bureau,41.806319806529,-87.752983422797,17031820800,FALSE,4758,4758,S,LARAMIE, 60638
146663,"4800 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4800,4800,S,LARAMIE,AVE,60638,Census Bureau,41.805608291384,-87.752962408064,17031820800,FALSE,4800,4800,S,LARAMIE, 60638
146664,"4902 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4902,4902,S,LARAMIE,AVE,60638,Census Bureau,41.803746348757,-87.752911595713,17031820800,FALSE,4902,4902,S,LARAMIE, 60638
146665,"4904 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4904,4904,S,LARAMIE,AVE,60638,Census Bureau,41.803711405864,-87.752910285358,17031820800,FALSE,4904,4904,S,LARAMIE, 60638
146666,"4952 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4952,4952,S,LARAMIE,AVE,60638,Census Bureau,41.802873192506,-87.752886670827,17031820800,FALSE,4952,4952,S,LARAMIE, 60638
146667,"4954 S LARAMIE AVE, CHICAGO IL 60638",FALSE,4954,4954,S,LARAMIE,AVE,60638,Census Bureau,41.802838241834,-87.752885811388,17031820800,FALSE,4954,4954,S,LARAMIE, 60638
146668,"5004 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5004,5004,S,LARAMIE,AVE,60638,Census Bureau,41.801903651545,-87.752858357319,17031820800,FALSE,5004,5004,S,LARAMIE, 60638
146669,"5006 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5006,5006,S,LARAMIE,AVE,60638,Census Bureau,41.801878070847,-87.752857717804,17031820800,FALSE,5006,5006,S,LARAMIE, 60638
146670,"5008 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5008,5008,S,LARAMIE,AVE,60638,Census Bureau,41.80185249015,-87.752857078289,17031820800,FALSE,5008,5008,S,LARAMIE, 60638
146671,"5010 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5010,5010,S,LARAMIE,AVE,60638,Census Bureau,41.801826909452,-87.752856438774,17031820800,FALSE,5010,5010,S,LARAMIE, 60638
146672,"5012 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5012,5012,S,LARAMIE,AVE,60638,Census Bureau,41.801801328755,-87.752855799259,17031820800,FALSE,5012,5012,S,LARAMIE, 60638
146673,"5014 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5014,5014,S,LARAMIE,AVE,60638,Census Bureau,41.801775748057,-87.752855159745,17031820800,FALSE,5014,5014,S,LARAMIE, 60638
146674,"5016 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5016,5016,S,LARAMIE,AVE,60638,Census Bureau,41.80175016736,-87.75285452023,17031820800,FALSE,5016,5016,S,LARAMIE, 60638
146675,"5020 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5020,5020,S,LARAMIE,AVE,60638,Census Bureau,41.801699005965,-87.7528532412,17031820800,FALSE,5020,5020,S,LARAMIE, 60638
146676,"5036 S LARAMIE AVE, CHICAGO IL 60638",FALSE,5036,5036,S,LARAMIE,AVE,60638,Census Bureau,41.801494288203,-87.752847841109,17031820800,FALSE,5036,5036,S,LARAMIE, 60638
146677,"5055 S LOTUS AVE, CHICAGO IL 60638",FALSE,5055,5055,S,LOTUS,AVE,60638,Census Bureau,41.800915453347,-87.758795627446,17031820800,FALSE,5055,5055,S,LOTUS, 60638
146678,"5200 W 51ST ST, CHICAGO IL 60638",FALSE,5200,5200,W,51ST,ST,60638,Census Bureau,41.800243462276,-87.752811579829,17031820800,FALSE,5200,5200,W,51ST, 60638
146679,"5204 W 51ST ST, CHICAGO IL 60638",FALSE,5204,5204,W,51ST,ST,60638,Census Bureau,41.800243116199,-87.75299751054,17031820800,FALSE,5204,5204,W,51ST, 60638
146680,"5228 W 51ST ST, CHICAGO IL 60638",FALSE,5228,5228,W,51ST,ST,60638,Census Bureau,41.800225462353,-87.754140344897,17031820800,FALSE,5228,5228,W,51ST, 60638
146681,"5230 W 51ST ST, CHICAGO IL 60638",FALSE,5230,5230,W,51ST,ST,60638,Census Bureau,41.800225462355,-87.754175266713,17031820800,FALSE,5230,5230,W,51ST, 60638
146682,"5250 W 51ST ST, CHICAGO IL 60638",FALSE,5250,5250,W,51ST,ST,60638,Census Bureau,41.800214558153,-87.75464555143,17031820800,FALSE,5250,5250,W,51ST, 60638
146683,"5258 W 51ST ST, CHICAGO IL 60638",FALSE,5258,5258,W,51ST,ST,60638,Census Bureau,41.800212695409,-87.754721924097,17031820800,FALSE,5258,5258,W,51ST, 60638
146684,"5300 W 51ST ST, CHICAGO IL 60638",FALSE,5300,5300,W,51ST,ST,60638,Census Bureau,41.800204548744,-87.755258798181,17031820800,FALSE,5300,5300,W,51ST, 60638
146685,"5310 W 51ST ST, CHICAGO IL 60638",FALSE,5310,5310,W,51ST,ST,60638,Census Bureau,41.800198462445,-87.755713362825,17031820800,FALSE,5310,5310,W,51ST, 60638
146686,"5320 W 51ST ST, CHICAGO IL 60638",FALSE,5320,5320,W,51ST,ST,60638,Census Bureau,41.800189462472,-87.756166533946,17031820800,FALSE,5320,5320,W,51ST, 60638
146687,"5330 W 51ST ST, CHICAGO IL 60638",FALSE,5330,5330,W,51ST,ST,60638,Census Bureau,41.800180462501,-87.756656812384,17031820800,FALSE,5330,5330,W,51ST, 60638
146688,"5356 W 51ST ST, CHICAGO IL 60638",FALSE,5356,5356,W,51ST,ST,60638,Census Bureau,41.800175172447,-87.757232370772,17031820800,FALSE,5356,5356,W,51ST, 60638
146740,"11631 S LAWNDALE, CHICAGO IL 60655",FALSE,11631,11631,S,LAWNDALE,,60655,Census Bureau,41.681639634223004,-87.712550447757,17031823304,FALSE,11631,11631,S,LAWNDALE, 60803
146745,"3650 W 117TH ST, CHICAGO IL 60655",FALSE,3650,3650,W,117TH,ST,60655,Census Bureau,41.680488290492,-87.711753186699,17031823304,FALSE,3650,3650,W,117TH, 60803
146747,"9900 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9900,9900,S,CALIFORNIA,AVE,60642,Census Bureau,41.713511873267,-87.691808126607,17031821900,FALSE,9900,9900,S,CALIFORNIA, 60805
146748,"9906 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9906,9906,S,CALIFORNIA,AVE,60642,Census Bureau,41.713375633405,-87.691804850093,17031821900,FALSE,9906,9906,S,CALIFORNIA, 60805
146749,"9912 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9912,9912,S,CALIFORNIA,AVE,60642,Census Bureau,41.7132397266,-87.691800603019,17031821900,FALSE,9912,9912,S,CALIFORNIA, 60805
146750,"9918 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9918,9918,S,CALIFORNIA,AVE,60642,Census Bureau,41.713034375854,-87.691793929366,17031821900,FALSE,9918,9918,S,CALIFORNIA, 60805
146751,"9924 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9924,9924,S,CALIFORNIA,AVE,60642,Census Bureau,41.712915309376,-87.691789677004,17031821900,FALSE,9924,9924,S,CALIFORNIA, 60805
146752,"9930 S CALIFORNIA AVE, CHICAGO IL 60805",FALSE,9930,9930,S,CALIFORNIA,AVE,60805,Census Bureau,41.712795647621,-87.691784778817,17031821900,FALSE,9930,9930,S,CALIFORNIA, 60805
146753,"9942 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9942,9942,S,CALIFORNIA,AVE,60642,Census Bureau,41.712525985214,-87.691774794957,17031821900,FALSE,9942,9942,S,CALIFORNIA, 60805
146754,"9948 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9948,9948,S,CALIFORNIA,AVE,60642,Census Bureau,41.712448693301,-87.691772742424,17031821900,FALSE,9948,9948,S,CALIFORNIA, 60805
146755,"9960 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9960,9960,S,CALIFORNIA,AVE,60642,Census Bureau,41.71229494022,-87.691767617338,17031821900,FALSE,9960,9960,S,CALIFORNIA, 60805
146756,"9966 S CALIFORNIA AVE, CHICAGO IL 60642",FALSE,9966,9966,S,CALIFORNIA,AVE,60642,Census Bureau,41.71221806368,-87.691765054794,17031821900,FALSE,9966,9966,S,CALIFORNIA, 60805
